Species,mean_Weight,mean_totalCulmen,mean_exposedCulmen,mean_billDepth,mean_billWidth,mean_gape,mean_wingLength,mean_distPrimarySecondary,mean_tailLength,mean_tailShape,mean_Tarsus,mean_Hallux
Iridosornis porphyrocephalus,22.255000000000003,14.746666666666666,11.303333333333333,6.8533333333333335,4.303333333333334,8.175,73.90333333333334,10.315,54.513333333333335,3.9499999999999997,24.026666666666667,12.76
Iridosornis rufivertex,26.14107142857143,13.778101265822785,9.774875,7.042911392405063,4.895507246376812,8.358253968253969,81.86283950617283,15.85635135135135,71.78493670886076,6.844918032786885,25.12155844155844,14.447564102564103
Kleinothraupis atropileus,23.21842105263158,15.420697674418605,11.597234042553191,5.458,4.663695652173913,8.685454545454546,79.45533333333333,12.668139534883721,72.92333333333333,8.299024390243902,24.520222222222223,15.395106382978723
Lafresnaya lafresnayi,5.347530864197531,31.30336842105263,25.996451612903225,2.20247311827957,2.134193548387097,3.9805333333333333,61.227551020408164,35.77643678160919,38.16816326530612,4.400804597701148,5.6541509433962265,5.315205479452055
Leiothlypis peregrina,10,12.34,9.796666666666667,3.6533333333333333,3.3566666666666665,5.7,65.03666666666666,20.16,40.04666666666667,5.333333333333334,17.516666666666666,9.03
Lepidocolaptes lacrymiger,32.00909090909091,30.056874999999998,25.394375,5.5806249999999995,4.478666666666666,9.645,107.25,24.91875,86.50758620689655,29.30862068965517,18.4875,13.945
Leptasthenura andicola,13.5,11.542666666666667,8.326666666666666,3.33,2.557142857142857,5.297692307692308,63.526923076923076,11.012,89.29833333333333,55.901333333333334,19.88357142857143,12.392
Lesbia nuna,5.333333333333333,16.155,12.245000000000001,1.6375,1.975,3.5875,51.8775,34.39333333333333,106.4225,-1.4199999999999982,6.863333333333333,6.5649999999999995
Lesbia victoriae,6.236363636363636,19.151764705882353,14.170555555555556,1.8844444444444444,2.3758823529411766,3.800588235294118,57.996,34.50727272727273,101.14625,-29.753571428571426,6.24,6.259375
Macroagelaius subalaris,82.66666666666667,26.284,23.791999999999998,8.454,6.334,11.362,129.39600000000002,29.178,141.286,60.054,31.419999999999998,18.69
Margarornis squamiger,17.650892857142857,14.167731958762886,10.173586956521739,3.737640449438202,3.353763440860215,7.395142857142857,78.8269387755102,14.92876404494382,72.62591397849462,25.38722891566265,19.506630434782608,17.038024691358025
Mecocerculus leucophrys,12.324882352941177,12.6276,8.952467532467532,3.1476126126126127,3.7287,6.860253807106599,66.21966244725738,11.338081395348837,67.78804255319149,13.615204081632653,20.036765957446807,10.077682403433476
Mecocerculus minor,12,9.34,5.9,2.84,3.66,6.44,59,NA,49,0,15.19,10.57
