decimalLongitude,decimalLatitude,Elevation,ParamoComplex,Department,Locality,clusters,unique_locality
-73.106775,5.943172,3384,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Duitama: Paramo de la Rusia - Virolin, Vda. El Carmen",2,GLR_119
-73.113539,5.944025,3239,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Duitama: Paramo de la Rusia - Virolin, Vda. El Carmen",4,GLR_120
-73.096164,5.945,3541,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Duitama: Paramo de la Rusia - Virolin, Vda. El Carmen",2,GLR_121
-73.104683,5.842367,3216,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,Boyaca: Paipa: Vda. Jazminal,4,GLR_122
-73.113822,5.850756,3327,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,Boyaca: Paipa: Vda. Jazminal,4,GLR_123
-72.721642,6.398106,2854,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Tipacoque: Parque Natural Municipal Robledales de Tipacoque, Vda. La Calera",5,GLR_124
-72.731844,6.396181,3090,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Tipacoque: Parque Natural Municipal Robledales de Tipacoque, Vda. La Calera",4,GLR_125
-72.734278,6.408442,3213,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Tipacoque: Parque Natural Municipal Robledales de Tipacoque, Vda. La Calera",4,GLR_126
-72.781564,6.213375,3418,Complejo de Paramos Guantiva-La Rusia (GLR),Santander,Santander: Onzaga: Vda. Chaguaca,2,GLR_127
-72.782981,6.228489,3005,Complejo de Paramos Guantiva-La Rusia (GLR),Santander,Santander: Onzaga: Vda. Chaguaca,4,GLR_128
-72.780722,6.228111,3400,Complejo de Paramos Guantiva-La Rusia (GLR),Santander,Santander: Onzaga: Vda. Chaguaca,4,GLR_129
-72.784197,6.222942,3195,Complejo de Paramos Guantiva-La Rusia (GLR),Santander,Santander: Onzaga: Vda. Chaguaca,2,GLR_130
-73.384722,5.734222,3067,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Arcabuco: Vda. Rupavita,4,IGM_131
-73.384472,5.734056,3067,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Arcabuco: Vda. Rupavita,4,IGM_132
-73.37625,5.75275,3516,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Combita: Vda. Santa Barbara,2,IGM_133
-73.302444,5.845222,3043,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Avendanos,4,IGM_134
-73.260306,5.810778,3354,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Avendanos,4,IGM_135
-73.194194,5.831222,3230,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Carrizal Bajo,4,IGM_136
-73.251972,5.806917,3349,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Guaguani,4,IGM_137
-73.252528,5.806583,3349,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Guaguani,4,IGM_138
-73.252111,5.800722,3208,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Guaguani,4,IGM_139
-73.252306,5.806833,3349,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Guaguani,4,IGM_140
-73.251222,5.801861,3208,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Guaguani,4,IGM_141
-73.252417,5.806639,3349,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Guaguani,4,IGM_142
-73.251889,5.800556,3208,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Guaguani,4,IGM_143
-73.252861,5.806417,3349,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Guaguani,4,IGM_144
-73.250083,5.811778,3530,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Guaguani,2,IGM_145
-73.197333,5.835806,3380,Complejo de Paramos Iguaque-Merchan (IGM),Santander,Santander: Gambita: Vda. Chinata,4,IGM_146
-77.246667,1.271922,3430,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: Buesaquillo, Vda. La Cuchilla",3,LCP_147
-77.238869,1.271042,3504,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: Buesaquillo, Vda. La Cuchilla",1,LCP_148
-77.181333,0.99775,2810,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: El Encano , Vda. Santa Lucia",3,LCP_149
-77.215917,1.120361,3336,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: El Socorro Cimarron, Vda. Bajo Casanare",1,LCP_150
-77.218361,1.119194,3271,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: El Socorro Cimarron, Vda. Bajo Casanare",3,LCP_151
-77.222194,1.121556,3211,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: El Socorro Cimarron, Vda. Bajo Casanare",3,LCP_152
-77.242117,1.274972,3280,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: La Merced, Cerro Morasurco",3,LCP_153
-77.295139,0.982361,3389,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: Santa Barbara, Vda. Los Alisales",1,LCP_154
-77.290028,0.976694,3211,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: Santa Barbara, Vda. Los Alisales",1,LCP_155
-77.288472,0.969972,3140,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: Santa Barbara, Vda. Los Alisales",3,LCP_156
-77.352111,0.832639,2938,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Puerres: Monopamba, Vda. Desmontes Alto",4,LCP_157
-77.361278,0.839306,3170,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Puerres: Monopamba, Vda. Desmontes Alto",4,LCP_158
-77.366861,0.842222,3300,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Puerres: Monopamba, Vda. Desmontes Alto",2,LCP_159
-77.396722,0.843194,3356,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Puerres: Puerres, Vda. El Rosal",2,LCP_160
-77.293528,0.987361,3504,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Tangua: Santander , Vda. Las Palmas",1,LCP_161
-75.993694,3.316139,3520,Complejo de Paramos Las Hermosas (HMS),Tolima,"Tolima: Rioblanco: Herrera, Cuenca Rio Hereje, Vda. las Mercedes, predio el Auxilio",3,HMS_162
-75.998028,3.315944,3520,Complejo de Paramos Las Hermosas (HMS),Tolima,"Tolima: Rioblanco: Herrera, Cuenca Rio Hereje, Vda. las Mercedes, predio el Auxilio",3,HMS_163
-75.998222,3.314972,3320,Complejo de Paramos Las Hermosas (HMS),Tolima,"Tolima: Rioblanco: Herrera, Cuenca Rio Hereje, Vda. las Mercedes, predio el Auxilio",3,HMS_164
