eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
112;0.6798;0.0036;0.1492;0.0324;0.0331;
113;0.6733;0.1733;0.0997;0.001;0.0267;
114;0.8941;0.0476;0.003;0.0081;0.0193;
115;0.8674;0.0938;0.0027;0.0151;0.0062;
116;0.7154;0.036;0.0289;0.1832;0.0131;
117;0.7175;0.2309;8e-04;0.0013;0.001;
118;0.5751;0.3371;0.0369;0.0023;0.0111;
119;0.4647;0.0077;0.1011;0.1445;0.029;
120;0.6122;0.1515;0.0361;0.1417;0.0414;
121;0.7471;0.0538;0.0958;0.0185;0.0164;
122;0.6083;0.2384;0.1236;2e-04;0.0024;
123;0.6465;0.0795;0.044;0.1536;5e-04;
124;0.7868;0.0809;0.032;0.0712;1e-04;
125;0.7443;0.1552;0.0406;0.0238;0.0059;
126;0.3787;0.3917;0.0031;0.0189;0.0853;
127;0.788;0.1185;0.0034;0.0373;0.0298;
128;0.7141;0.1751;0.0655;0;0.0201;
129;0.0851;0.0503;0.7838;0.0041;0.028;
130;0.5759;0.1541;0.2201;0.0023;0.0115;
131;0.5933;0.1144;0.0527;0.191;0.025;
132;0.3638;0.0167;0.1141;0.0154;0.0595;
133;0.1561;0.0394;0.0058;0.5371;0.0054;
134;0.8804;0.0607;0.008;0.0354;0.0034;
135;0.8822;0.0449;0.0058;0.0483;0.0101;
136;0.5708;0.0303;0.1004;0.0879;0.0613;
137;0.048;0.1239;0.0723;0.4954;0.1055;
138;0.7885;0.0276;0.1253;0.042;0;
139;0.4457;0.0297;0.0334;0.3743;0.0889;
140;0.6089;0.2867;0.0383;0.0053;0.0473;
141;0.8053;0.0581;0.0482;0.0521;0;
142;0.0074;0.7274;0.1318;0.1124;0.001;
143;0.6441;0.042;0.0022;0.1731;0.0016;
144;0.6565;0.0708;0.0109;0.0137;0.1792;
145;2e-04;0.0829;0.4902;0.0011;0.2962;
146;0.9414;0.0155;0.0033;8e-04;0.0081;
147;0.6482;0.0865;0.2021;0.026;0.001;
148;0.663;0.0657;0.1794;0.0366;0.0014;
149;0.6135;0.1407;0.1514;0.0534;0.0029;
150;0.4268;0.308;0.1369;0.0551;0.0328;
151;0.4517;0.2298;0.0456;0.1256;0.0756;
152;0.4739;0.0156;0.0663;0.0661;0.229;
153;0.5022;0.0098;3e-04;0.3573;0.0762;
154;0.6765;0.0544;0.1733;0.0415;0.027;
155;0.0764;0.3589;0.1303;0.4083;0.0066;
156;0.0048;0.3712;0.0794;0.5303;0.0055;
157;0.0369;0.3484;0.1452;0.448;9e-04;
158;0.2561;0.0028;0.5738;0.0749;5e-04;
159;0.6191;0.0298;0.0081;0.3205;0.0042;
160;0.5722;0.0976;0.002;0.2819;0.014;
161;0.6445;0.2007;0.076;0.0484;0.019;
162;0.0555;0.0648;0.0904;0.6184;0.0606;
163;0.291;0.2394;0.2051;0.1739;0.0337;
164;0.0107;0.0649;0.4746;0.0044;0.3105;
165;0.618;0.0148;0.2188;0.0445;0;
166;0.6801;0.0228;0.2251;0.0319;0;
167;0.4516;0.1793;0.0631;0.2587;0.033;
168;0.795;0.0073;0.0727;0.0022;0.1066;
169;0.7797;0.0122;0.0376;0.0048;0.1561;
170;0.659;0.2125;0.0048;0.0352;0.0014;
171;0.1107;0.0472;0.6114;0.0664;0.0708;
172;0.1088;0.5868;3e-04;0.2353;0.0024;
173;0.4904;0.1167;0.1123;6e-04;0.0152;
174;0.2776;0.0697;0.0068;0.51;0.0551;

contrib
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;1.565;1.987;0.3529;5.0188;0.0745;
2;0.4098;0.3897;0.0088;0.0937;0.5903;
3;0.171;1.1292;0.3208;0.2621;0.2322;
4;0.1678;0.2364;1.5469;0.6462;1.9188;
5;0.2333;0.0877;0.5237;0.0466;0.3181;
6;0.2478;0.0994;0.2676;0.3197;0.0446;
